1.785714,3.092948
1.623377,2.811771
1.488095,2.577457
1.373626,2.379191
1.275510,2.209248
1.190476,2.061965
1.116071,1.933092
1.050420,1.819381
0.992063,1.718304
0.939850,1.627867
0.892857,1.546474
0.000000,0.000000
0.204082,0.000000
0.389610,0.000000
0.559006,0.000000
0.714286,0.000000
0.857143,0.000000
0.989011,0.000000
1.111111,0.000000
1.224490,0.000000
1.330049,0.000000
1.428571,0.000000
1.520737,0.000000
1.607143,0.000000
1.688312,0.000000
1.764706,0.000000
1.836735,0.000000
1.904762,0.000000
1.969112,0.000000
2.030075,0.000000
2.087912,0.000000
2.142857,0.000000
4.285714,0.000000
4.166667,0.147283
4.058442,0.281177
3.959627,0.403428
3.869048,0.515491
3.785714,0.618590
3.708791,0.713757
3.637566,0.801875
3.571429,0.883699
3.509852,0.959880
3.452381,1.030983
3.398618,1.097498
3.348214,1.159855
3.300866,1.218434
3.256303,1.273567
3.214286,1.325549
3.174603,1.374643
3.137066,1.421084
3.101504,1.465081
3.067766,1.506821
3.035714,1.546474
